YEAR,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_BORO_NAME,SECONDS
2020,Based on Radio Run,Other,1,Other,5,Y,Y,N,Y,Y,Y,Y,(,Y,Y,33,MALE,BLACK,6,200,MED,BRO,Other,1038115,192802,QUEENS,25380.0
2020,Based on Radio Run,POM,1,LARCENY,5,Y,Y,N,N,N,Y,N,Y,Y,Y,42,MALE,BLACK,5.1,160,THN,BRO,Other,962748,174173,STATEN ISL,75300.0
2020,Based on Radio Run,POM,15,LARCENY,5,Y,Y,N,N,N,Y,N,Y,Y,Y,16,MALE,BLACK,5.11,150,THN,BRO,BLK,988084,214323,MANHATTAN,78600.0
2020,Based on Radio Run,POM,15,LARCENY,5,Y,Y,N,N,N,Y,Y,Y,Y,Y,16,MALE,ASIAN/PAC.ISL,5.6,150,THN,BRO,BLK,988084,214323,MANHATTAN,78600.0
2020,Based on Radio Run,POM,15,LARCENY,5,Y,Y,N,N,N,Y,N,Y,Y,Y,22,MALE,BLACK HISPANIC,5.8,135,THN,BRO,BLK,988084,214323,MANHATTAN,78600.0
2020,Based on Radio Run,POM,1,ROBBERY,27,Y,Y,N,Y,Y,Y,Y,(,Y,Y,34,MALE,BLACK,5.1,180,THN,BRO,Other,1016845,182111,BROOKLYN,10200.0
2020,Based on Radio Run,POM,1,Other,5,Y,Y,N,N,Y,Y,Y,Y,Y,Y,21,MALE,BLACK,5.9,200,Other,BRO,BLK,1025436,258427,BRONX,66000.0
2020,Based on Radio Run,POM,1,ASSAULT,7,Y,Y,N,N,N,Y,N,Y,Y,Y,13,MALE,BLACK,5.4,150,MED,BRO,BLK,954527,148134,STATEN ISL,54300.0
2020,Based on Radio Run,POM,1,ASSAULT,7,Y,Y,N,N,N,Y,N,Y,Y,Y,13,MALE,BLACK,5,90,THN,BRO,BLK,954527,148134,STATEN ISL,54300.0
2020,Based on Radio Run,POM,1,ASSAULT,7,Y,Y,N,N,N,Y,N,Y,Y,Y,12,MALE,BLACK,5.4,147,MED,BRO,BLK,954527,148134,STATEN ISL,54300.0
2020,Based on Radio Run,POM,1,ASSAULT,7,Y,Y,N,N,N,Y,N,Y,Y,Y,13,MALE,BLACK HISPANIC,5,100,THN,BRO,Other,954527,148134,STATEN ISL,54300.0
2020,Based on Radio Run,POM,1,ASSAULT,7,Y,Y,N,N,N,Y,N,Y,Y,Y,14,FEMALE,BLACK,5.4,95,THN,BRO,Other,954527,148134,STATEN ISL,54300.0
2020,Based on Radio Run,POM,1,ASSAULT,7,Y,Y,N,N,N,Y,N,Y,Y,Y,14,FEMALE,BLACK,5.2,110,MED,BRO,Other,954527,148134,STATEN ISL,54300.0
2020,Based on Radio Run,POM,1,ASSAULT,30,Y,Y,N,Y,Y,Y,N,Y,Y,Y,14,MALE,BLACK,5.11,160,MED,BRO,BLK,1050880,156629,QUEENS,79080.0
2020,Based on Radio Run,POM,1,ASSAULT,30,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,17,MALE,BLACK,5.11,170,MED,BRO,BLK,1050880,156629,QUEENS,79080.0
2020,Based on Radio Run,POM,1,Other,20,Y,Y,N,Y,N,Y,N,Y,Y,Y,52,MALE,BLACK,6.2,170,THN,BRO,BLK,1045416,186500,QUEENS,67440.0
2020,Based on Radio Run,POM,1,Other,1,Y,Y,Y,N,Y,Y,N,Y,Y,Y,17,MALE,WHITE HISPANIC,6,150,THN,BRO,BLK,1005984,234768,BRONX,81600.0
2020,Based on Radio Run,POM,1,ASSAULT,10,Y,Y,N,N,N,Y,N,Y,Y,Y,14,MALE,BLACK,5.1,145,THN,BRO,BLK,1051397,157804,QUEENS,58800.00000000001
2020,Based on Radio Run,POM,1,ASSAULT,1,Y,Y,N,N,N,Y,N,Y,Y,Y,16,MALE,BLACK,5.8,130,THN,BRO,BLK,1051397,157804,QUEENS,58800.00000000001
2020,Based on Radio Run,POM,1,Other,5,Y,Y,N,N,Y,Y,Y,Y,Y,Y,18,MALE,WHITE HISPANIC,5.8,165,MED,BRO,Other,1018293,211333,QUEENS,15600.000000000002
2020,Based on Radio Run,POM,1,ROBBERY,9,Y,Y,N,Y,N,Y,N,Y,Y,Y,15,MALE,WHITE HISPANIC,5.4,130,THN,BRO,Other,1028162,201227,QUEENS,60960.00000000001
2020,Based on C/W on Scene,POM,5,Other,10,Y,Y,N,Y,Y,N,N,Y,Y,Y,26,MALE,WHITE HISPANIC,5.6,160,THN,BRO,BLN,1001223,229733,MANHATTAN,58680.00000000001
2020,Based on Radio Run,POF,2,LARCENY,5,Y,Y,N,Y,N,Y,N,Y,Y,Y,26,FEMALE,WHITE,5.7,135,THN,BRO,Other,1028646,189243,QUEENS,32760.000000000004
2020,Based on Radio Run,Other,5,ROBBERY,10,Y,Y,N,N,N,N,N,Y,Y,Y,27,FEMALE,BLACK,5.7,160,Other,BRO,BLK,983674,200401,MANHATTAN,39060.0
2020,Based on C/W on Scene,POM,30,ASSAULT,60,Y,N,N,Y,Y,Y,N,(,Y,Y,32,MALE,BLACK HISPANIC,5.6,180,MED,BRO,BLK,1018585,259666,BRONX,75000.0
2020,Based on Radio Run,POM,1,LARCENY,10,Y,Y,N,Y,N,Y,N,Y,Y,Y,34,MALE,BLACK HISPANIC,5.11,150,THN,BRO,Other,984283,204663,MANHATTAN,75600.0
2020,Based on Radio Run,POM,1,ROBBERY,10,Y,Y,N,N,N,Y,N,Y,Y,Y,16,MALE,BLACK,5.11,160,THN,BRO,BLK,1014961,246870,BRONX,60900.00000000001
2020,Based on Radio Run,POM,1,ROBBERY,10,Y,Y,N,N,N,Y,N,Y,Y,Y,14,MALE,BLACK,5.7,140,THN,BRO,BLK,1014961,246870,BRONX,60900.00000000001
2020,Based on Radio Run,POM,1,ROBBERY,5,Y,N,N,N,Y,Y,N,Y,Y,Y,14,MALE,BLACK,5,100,THN,BRO,BLK,998825,235231,MANHATTAN,56280.0
2020,Based on Radio Run,POM,1,Other,5,Y,Y,N,N,Y,Y,N,Y,Y,Y,35,MALE,BLACK,5.7,160,MED,BRO,BLK,1046928,188900,QUEENS,39960.0
2020,Based on Radio Run,POM,3,LARCENY,10,Y,N,N,Y,Y,Y,N,Y,Y,Y,23,MALE,BLACK HISPANIC,5.6,160,THN,BRO,BLK,1005543,253483,MANHATTAN,35220.0
2020,Based on C/W on Scene,POM,1,ASSAULT,1,Y,Y,N,Y,N,Y,N,Y,Y,Y,15,MALE,BLACK,5.6,180,THN,BRO,BLK,1051687,212167,QUEENS,53100.0
2020,Based on Radio Run,POM,1,Other,1,Y,Y,N,Y,Y,Y,N,Y,Y,Y,29,MALE,BLACK,5.7,180,THN,BLK,BLK,1051806,184083,QUEENS,42900.0
2020,Based on Radio Run,POM,2,Other,7,Y,Y,N,Y,Y,Y,N,Y,Y,Y,15,MALE,BLACK,5.5,110,THN,BRO,BLK,1046477,184689,QUEENS,59520.00000000001
2020,Based on Radio Run,Other,1,LARCENY,10,Y,Y,N,Y,Y,Y,N,Y,Y,Y,40,MALE,WHITE HISPANIC,5.7,145,THN,BRO,BLK,993933,189073,BROOKLYN,46680.0
2020,Based on C/W on Scene,POF,1,ASSAULT,2,Y,Y,N,Y,N,Y,N,Y,Y,Y,29,FEMALE,BLACK,5.11,190,MED,BLK,BLK,1007014,236618,BRONX,20520.0
2020,Based on Radio Run,POM,2,Other,10,Y,Y,N,Y,N,Y,Y,Y,Y,Y,32,MALE,BLACK,6.1,185,MED,BRO,BLK,1037222,193471,QUEENS,52500.0
2020,Based on Radio Run,POM,1,ROBBERY,17,Y,Y,N,Y,N,Y,N,Y,Y,Y,14,MALE,BLACK,5.6,100,MED,Other,BLK,1039258,199907,QUEENS,49800.0
2020,Based on Radio Run,POM,1,LARCENY,5,Y,Y,N,Y,N,Y,N,Y,Y,Y,26,MALE,WHITE HISPANIC,5.6,150,THN,BRO,BLK,996625,230538,MANHATTAN,60900.00000000001
2020,Based on Radio Run,POM,1,LARCENY,6,Y,Y,N,Y,Y,Y,N,Y,Y,Y,14,MALE,BLACK,5.8,120,THN,BRO,BLK,990900,202647,QUEENS,62280.00000000001
