YEAR,MONTH,DAY,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME,SECONDS
2020,January,Thursday,Based on Self Initiated,POM,10,Other,10,Y,Y,N,N,N,Y,N,25.0,MALE,BLACK,6.0,160.0,THN,BRO,BLK,984235,148284,11224,BROOKLYN,56940.0
2020,January,Wednesday,Based on Radio Run,POM,1,BURGLARY,10,Y,Y,N,Y,Y,Y,N,40.0,MALE,BLACK,61.0,220.0,MED,BRO,BLK,994216,174053,11226,BROOKLYN,1860.0000000000002
2020,January,Thursday,Based on Radio Run,POM,0,Other,17,Y,Y,N,Y,Y,Y,Y,25.0,MALE,BLACK,6.0,150.0,Other,BRO,BLK,998149,171048,11210,BROOKLYN,16800.0
2020,January,Wednesday,Based on Radio Run,POM,2,Other,20,Y,N,N,Y,Y,Y,N,27.0,MALE,BLACK,56.0,150.0,THN,BRO,BLK,995055,182775,11225,BROOKLYN,7320.000000000001
2020,January,Thursday,Based on Self Initiated,POM,6,Other,8,Y,N,N,Y,N,N,N,55.0,MALE,BLACK,51.0,170.0,THN,BRO,BLK,980921,175007,11220,BROOKLYN,74460.0
2020,January,Wednesday,Based on Self Initiated,POM,1,Other,2,Y,Y,N,Y,Y,Y,Y,36.0,MALE,BLACK,65.0,170.0,THN,BRO,BLK,1016432,178623,11207,BROOKLYN,720.0
2020,January,Thursday,Based on Radio Run,POM,1,Other,10,Y,N,N,Y,Y,N,N,37.0,MALE,BLACK,58.0,180.0,THN,BRO,BLK,1002660,183975,11213,BROOKLYN,75480.0
2020,January,Thursday,Based on Radio Run,POM,1,LARCENY,6,Y,Y,N,Y,N,Y,N,32.0,MALE,Other,58.0,160.0,THN,BRO,BLK,1019841,199173,11379,QUEENS,960.0000000000001
2020,January,Friday,Based on Radio Run,POM,2,ASSAULT,9,Y,N,N,N,Y,Y,N,44.0,MALE,WHITE HISPANIC,511.0,250.0,Other,BRO,BLK,1000900,244770,10032,MANHATTAN,12900.0
2020,January,Thursday,Based on C/W on Scene,POM,2,ROBBERY,1,Y,N,N,N,Y,N,N,20.0,MALE,BLACK,511.0,160.0,Other,BRO,BLK,1005981,245427,10452,BRONX,81000.0
2020,January,Friday,Based on C/W on Scene,POM,1,ASSAULT,10,Y,N,N,Y,N,N,N,40.0,MALE,BLACK,63.0,250.0,MED,BRO,BLK,1005044,245866,10452,BRONX,11460.0
2020,January,Friday,Based on C/W on Scene,POM,1,ASSAULT,10,Y,N,N,Y,N,N,N,31.0,FEMALE,BLACK,51.0,165.0,MED,BRO,BLK,1005044,245866,10452,BRONX,11460.0
2020,January,Wednesday,Based on Radio Run,POM,1,ASSAULT,15,Y,N,N,Y,Y,N,N,23.0,MALE,BLACK,58.0,150.0,THN,BRO,BLK,1023263,259322,10469,BRONX,25680.0
2020,January,Thursday,Based on Radio Run,POM,1,LARCENY,5,Y,Y,N,Y,N,Y,N,42.0,MALE,WHITE HISPANIC,51.0,250.0,Other,BRO,Other,1025229,258260,10469,BRONX,7920.000000000001
2020,January,Friday,Based on Radio Run,POM,4,BURGLARY,20,Y,N,N,Y,Y,N,N,0.0,MALE,WHITE,51.0,190.0,MED,BRO,Other,983838,170798,11219,BROOKLYN,6000.0
2020,January,Friday,Based on C/W on Scene,POM,2,Other,35,Y,N,N,Y,N,N,N,26.0,MALE,BLACK,62.0,170.0,MED,BRO,BLK,977722,170485,11220,BROOKLYN,14940.000000000002
2020,January,Friday,Based on C/W on Scene,POM,2,Other,35,Y,N,N,Y,N,N,N,19.0,MALE,BLACK,61.0,180.0,MED,BRO,BLK,977722,170485,11220,BROOKLYN,14940.000000000002
2020,January,Friday,Based on C/W on Scene,POM,2,Other,35,Y,N,N,Y,N,N,N,19.0,MALE,BLACK,6.0,160.0,MED,BRO,BLK,977722,170485,11220,BROOKLYN,14940.000000000002
2020,January,Thursday,Based on Radio Run,POM,1,BURGLARY,1,Y,Y,N,Y,Y,Y,N,30.0,MALE,WHITE HISPANIC,59.0,160.0,THN,BRO,BLK,1002119,193503,11206,BROOKLYN,21300.0
2020,January,Wednesday,Based on Radio Run,POF,1,ASSAULT,5,Y,Y,N,Y,Y,Y,N,45.0,MALE,WHITE HISPANIC,57.0,250.0,Other,BRO,BLK,997363,234697,10027,MANHATTAN,63180.00000000001
2020,January,Wednesday,Based on Radio Run,POM,2,Other,2,Y,N,Y,Y,N,Y,N,19.0,MALE,BLACK,59.0,155.0,THN,BRO,BLK,997520,231479,10026,MANHATTAN,3600.0
